Wed Jan 21 14:14:26 2015    profile.data

         63902342 function calls (63900290 primitive calls) in 391.362 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 zeros.py:1(<module>)
       50    0.000    0.000    0.001    0.000 pyplot.py:2371(<lambda>)
        1    0.000    0.000    0.001    0.001 version.py:27(<module>)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.001    0.001    0.001    0.001 nnls.py:1(<module>)
      381    0.001    0.000    0.001    0.000 {method 'compress' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.001    0.001 quadpack.py:3(<module>)
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
1084/1042    0.000    0.000    0.001    0.000 {issubclass}
       79    0.000    0.000    0.001    0.000 _methods.py:25(_amax)
        3    0.000    0.000    0.001    0.000 tempfile.py:135(next)
       74    0.000    0.000    0.001    0.000 fromnumeric.py:795(argsort)
        1    0.001    0.001    0.001    0.001 odepack.py:2(<module>)
        8    0.001    0.000    0.001    0.000 {compile}
     3226    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     15/9    0.000    0.000    0.001    0.000 pyparsing.py:2334(copy)
       23    0.000    0.000    0.001    0.000 core.py:6058(__init__)
        8    0.000    0.000    0.001    0.000 decorator.py:69(__init__)
     1016    0.001    0.000    0.001    0.000 numeric.py:1347(rollaxis)
        3    0.000    0.000    0.001    0.000 tempfile.py:124(rng)
        1    0.001    0.001    0.001    0.001 flinalg.py:5(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:48(<module>)
       23    0.000    0.000    0.001    0.000 core.py:6063(getdoc)
      832    0.000    0.000    0.001    0.000 <string>:8(__new__)
       34    0.000    0.000    0.001    0.000 pyparsing.py:1226(__add__)
        6    0.000    0.000    0.001    0.000 _version.py:55(__init__)
      832    0.001    0.000    0.001    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
        1    0.000    0.000    0.001    0.001 urllib2.py:827(AbstractBasicAuthHandler)
        1    0.001    0.001    0.001    0.001 extras.py:224(_fromnxfunction)
      890    0.001    0.000    0.001    0.000 {max}
        1    0.000    0.000    0.001    0.001 patches.py:2867(ArrowStyle)
